,ID,Gender,Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Cluster
0,458989,Female,Yes,36,Yes,0.0,Low,1.0,0
1,458994,Male,Yes,37,Yes,8.0,Average,4.0,2
2,458996,Female,Yes,69,No,0.0,Low,1.0,0
3,459000,Male,Yes,59,No,11.0,High,2.0,2
4,459001,Female,No,19,No,,Low,4.0,1
5,459003,Male,Yes,47,Yes,0.0,High,5.0,2
6,459005,Male,Yes,61,Yes,5.0,Low,3.0,0
7,459008,Female,Yes,47,Yes,1.0,Average,3.0,2
8,459013,Male,Yes,50,Yes,2.0,Average,4.0,2
9,459014,Male,No,19,No,0.0,Low,4.0,1
10,459015,Male,No,22,No,0.0,Low,3.0,1
11,459016,Female,No,22,No,0.0,Low,6.0,1
12,459024,Male,Yes,50,Yes,1.0,Average,5.0,2
13,459026,Male,No,27,No,8.0,Low,3.0,1
14,459032,Male,No,18,No,0.0,Low,3.0,1
15,459033,Female,Yes,61,Yes,0.0,Low,1.0,0
16,459036,Female,Yes,20,Yes,1.0,Average,3.0,2
17,459039,Male,Yes,45,Yes,1.0,Average,2.0,2
18,459041,Male,Yes,55,Yes,8.0,Low,1.0,0
19,459045,Female,Yes,88,Yes,1.0,Average,4.0,2
20,459056,Male,Yes,63,No,,High,3.0,0
21,459057,Male,Yes,69,No,,High,,0
22,459058,Male,No,42,Yes,0.0,Low,4.0,3
23,459059,Male,Yes,79,No,,High,2.0,0
24,459061,Female,Yes,35,Yes,9.0,High,3.0,3
25,459064,Male,Yes,27,No,5.0,High,4.0,2
26,459065,Male,Yes,52,Yes,,Low,2.0,0
27,459074,Female,No,29,Yes,0.0,Low,4.0,3
28,459077,Female,Yes,79,No,1.0,High,2.0,0
29,459079,Male,Yes,87,Yes,,High,2.0,0
30,459080,Male,Yes,89,No,1.0,Low,2.0,0
31,459083,Male,Yes,63,Yes,9.0,Average,3.0,2
32,459090,Male,No,31,No,1.0,Low,2.0,1
33,459091,Male,Yes,72,Yes,1.0,Average,6.0,2
34,459093,Female,Yes,41,Yes,9.0,Average,2.0,2
35,459100,Female,No,61,Yes,11.0,Low,1.0,3
